time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02 00:00:00,1.10411,1.1042,1.1041,1.10419,21,54,0
2024-01-02 00:15:00,1.1041,1.10426,1.1041,1.10419,16,47,0
2024-01-02 00:30:00,1.1042,1.1042399999999999,1.10411,1.10423,33,32,0
2024-01-02 00:45:00,1.10421,1.10433,1.10419,1.1043,55,32,0
2024-01-02 01:00:00,1.10434,1.10439,1.10376,1.10377,230,14,0
2024-01-02 01:15:00,1.10377,1.10378,1.10364,1.10372,185,14,0
2024-01-02 01:30:00,1.10371,1.10378,1.10356,1.1036,315,14,0
2024-01-02 01:45:00,1.10358,1.10367,1.10349,1.10359,338,14,0
2024-01-02 02:00:00,1.10359,1.10373,1.10359,1.10365,339,14,0
2024-01-02 02:15:00,1.10365,1.10367,1.10335,1.1034,234,14,0
2024-01-02 02:30:00,1.10339,1.10353,1.10337,1.10349,159,14,0
2024-01-02 02:45:00,1.1035,1.10377,1.10349,1.10374,443,14,0
2024-01-02 03:00:00,1.10372,1.10427,1.10368,1.1038000000000001,778,14,0
2024-01-02 03:15:00,1.1038000000000001,1.10425,1.1038000000000001,1.10387,656,14,0
2024-01-02 03:30:00,1.10385,1.1039,1.1036,1.10375,654,14,0
2024-01-02 03:45:00,1.10376,1.10393,1.10336,1.10341,460,14,0
2024-01-02 04:00:00,1.10341,1.10352,1.10307,1.1031,389,14,0
2024-01-02 04:15:00,1.10311,1.10311,1.10254,1.10254,324,14,0
2024-01-02 04:30:00,1.10256,1.10262,1.10215,1.10229,522,14,0
2024-01-02 04:45:00,1.1023,1.10234,1.10176,1.10182,482,14,0
2024-01-02 05:00:00,1.10182,1.10229,1.10172,1.10217,320,14,0
2024-01-02 05:15:00,1.10216,1.10234,1.10199,1.10206,320,14,0
2024-01-02 05:30:00,1.1021,1.10225,1.102,1.10224,369,14,0
2024-01-02 05:45:00,1.10226,1.10241,1.10225,1.10238,325,14,0
2024-01-02 06:00:00,1.10239,1.10243,1.10201,1.10218,330,14,0
2024-01-02 06:15:00,1.10218,1.10218,1.10184,1.10186,218,14,0
2024-01-02 06:30:00,1.10187,1.10199,1.10166,1.10169,414,14,0
2024-01-02 06:45:00,1.10168,1.10204,1.10159,1.10203,299,14,0
2024-01-02 07:00:00,1.10201,1.10245,1.10201,1.10244,331,14,0
2024-01-02 07:15:00,1.10243,1.10275,1.10239,1.1025800000000001,352,14,0
2024-01-02 07:30:00,1.1025800000000001,1.10296,1.1025800000000001,1.10294,300,14,0
2024-01-02 07:45:00,1.10296,1.10328,1.10286,1.10326,398,14,0
2024-01-02 08:00:00,1.10326,1.10336,1.1031,1.10315,288,14,0
2024-01-02 08:15:00,1.10315,1.10331,1.10294,1.10313,275,14,0
2024-01-02 08:30:00,1.10314,1.10341,1.10302,1.10329,460,14,0
2024-01-02 08:45:00,1.1033,1.10345,1.10262,1.1028,467,14,0
2024-01-02 09:00:00,1.10282,1.10304,1.10239,1.10274,969,14,0
2024-01-02 09:15:00,1.10275,1.1037,1.1027,1.10364,756,14,0
2024-01-02 09:30:00,1.1036299999999999,1.10373,1.10291,1.10293,783,14,0
2024-01-02 09:45:00,1.10293,1.10307,1.10145,1.10147,1569,14,0
2024-01-02 10:00:00,1.10147,1.10381,1.1014599999999999,1.10323,2066,14,0
2024-01-02 10:15:00,1.10322,1.10334,1.10269,1.10282,1249,14,0
2024-01-02 10:30:00,1.10281,1.10324,1.10272,1.10288,1151,14,0
2024-01-02 10:45:00,1.10288,1.10323,1.10246,1.10287,1124,14,0
2024-01-02 11:00:00,1.10288,1.10357,1.10282,1.10342,1133,14,0
2024-01-02 11:15:00,1.10342,1.10372,1.10324,1.10325,988,14,0
2024-01-02 11:30:00,1.10325,1.10343,1.10182,1.1019,1108,14,0
2024-01-02 11:45:00,1.10186,1.10193,1.101,1.10145,1213,14,0
2024-01-02 12:00:00,1.10142,1.10163,1.09964,1.09993,1088,14,0
2024-01-02 12:15:00,1.09993,1.10049,1.09988,1.10033,1033,14,0
2024-01-02 12:30:00,1.10031,1.10095,1.10021,1.1009,1071,14,0
2024-01-02 12:45:00,1.10089,1.10104,1.10022,1.10064,1070,14,0
2024-01-02 13:00:00,1.10065,1.1007,1.09886,1.09889,1265,14,0
2024-01-02 13:15:00,1.09892,1.09914,1.09778,1.0979700000000001,1452,14,0
2024-01-02 13:30:00,1.09795,1.09795,1.09697,1.09703,1442,14,0
2024-01-02 13:45:00,1.09702,1.09722,1.0966,1.09684,1142,14,0
2024-01-02 14:00:00,1.09682,1.09712,1.09672,1.09686,1079,14,0
2024-01-02 14:15:00,1.09685,1.09688,1.09605,1.09649,1071,14,0
2024-01-02 14:30:00,1.0965,1.09674,1.09573,1.09601,1123,14,0
2024-01-02 14:45:00,1.096,1.09627,1.0953,1.09533,1255,14,0
2024-01-02 15:00:00,1.09533,1.0958,1.09528,1.09572,1602,14,0
2024-01-02 15:15:00,1.09571,1.09615,1.09512,1.09572,1650,14,0
2024-01-02 15:30:00,1.09573,1.09643,1.09564,1.09637,1648,14,0
2024-01-02 15:45:00,1.09636,1.0964,1.09486,1.09516,1656,14,0
2024-01-02 16:00:00,1.09519,1.09567,1.09443,1.09455,1866,14,0
2024-01-02 16:15:00,1.09454,1.09531,1.0944099999999999,1.09513,1579,14,0
2024-01-02 16:30:00,1.09509,1.09629,1.09505,1.09595,2145,14,0
2024-01-02 16:45:00,1.09596,1.09634,1.09509,1.09621,2653,14,0
2024-01-02 17:00:00,1.0962,1.0967500000000001,1.09546,1.09571,2560,14,0
2024-01-02 17:15:00,1.09571,1.0961,1.09525,1.09587,2070,14,0
2024-01-02 17:30:00,1.09585,1.09585,1.09491,1.09521,2108,14,0
2024-01-02 17:45:00,1.09519,1.0955,1.09403,1.09429,2086,14,0
2024-01-02 18:00:00,1.09429,1.09575,1.09402,1.09568,1829,14,0
2024-01-02 18:15:00,1.09567,1.09609,1.0955,1.09572,1516,14,0
2024-01-02 18:30:00,1.0957,1.09571,1.09436,1.09461,1210,14,0
2024-01-02 18:45:00,1.09462,1.09573,1.0946,1.09558,962,14,0
2024-01-02 19:00:00,1.09558,1.09569,1.09473,1.09501,945,14,0
2024-01-02 19:15:00,1.095,1.09549,1.09451,1.09527,1176,14,0
2024-01-02 19:30:00,1.09524,1.0955300000000001,1.09508,1.09509,819,14,0
2024-01-02 19:45:00,1.09508,1.0952,1.0946,1.09498,916,14,0
