close_days,sl_perc,tp_perc,buy_threshold,sell_threshold,Return [%]
2,0.002,0.008,0.001,0.005,-3.1532709988829692
2,0.002,0.007,0.001,0.005,-3.1532709988829692
2,0.002,0.002,0.001,0.005,-3.1532709988829692
2,0.002,0.005,0.001,0.002,-3.1040358855314025
2,0.002,0.006,0.001,0.002,-3.1040358855314025
2,0.002,0.002,0.001,0.002,-3.1040358855314025
2,0.002,0.007,0.001,0.002,-3.1040358855314025
2,0.002,0.004,0.001,0.002,-3.1040358855314025
2,0.002,0.001,0.001,0.002,-3.1040358855314025
2,0.002,0.008,0.001,0.002,-3.1040358855314025
2,0.002,0.003,0.001,0.002,-3.1040358855314025
1,0.002,0.001,0.001,0.003,-2.9785335795215246
1,0.002,0.007,0.001,0.003,-2.9785335795215246
1,0.002,0.005,0.001,0.003,-2.9785335795215246
1,0.002,0.002,0.001,0.003,-2.9785335795215246
1,0.002,0.008,0.001,0.003,-2.9785335795215246
1,0.002,0.006,0.001,0.003,-2.9785335795215246
1,0.002,0.003,0.001,0.003,-2.9785335795215246
1,0.002,0.004,0.001,0.003,-2.9785335795215246
1,0.007,0.004,0.001,0.002,-2.8213976306202917
1,0.007,0.002,0.001,0.002,-2.8213976306202917
1,0.007,0.005,0.001,0.002,-2.8213976306202917
1,0.007,0.007,0.001,0.002,-2.8213976306202917
1,0.007,0.006,0.001,0.002,-2.8213976306202917
1,0.007,0.003,0.001,0.002,-2.8213976306202917
1,0.007,0.008,0.001,0.002,-2.8213976306202917
1,0.007,0.001,0.001,0.002,-2.8213976306202917
1,0.007,0.002,0.001,0.005,-2.8030684698791597
1,0.007,0.005,0.001,0.005,-2.8030684698791597
1,0.007,0.004,0.001,0.005,-2.8030684698791597
1,0.007,0.007,0.001,0.005,-2.8030684698791597
1,0.007,0.001,0.001,0.005,-2.8030684698791597
1,0.007,0.008,0.001,0.005,-2.8030684698791597
1,0.007,0.003,0.001,0.005,-2.8030684698791597
1,0.007,0.006,0.001,0.005,-2.8030684698791597
2,0.002,0.007,0.001,0.003,-2.7833832432651584
2,0.002,0.003,0.001,0.003,-2.7833832432651584
2,0.002,0.002,0.001,0.003,-2.7833832432651584
2,0.002,0.004,0.001,0.003,-2.7833832432651584
2,0.002,0.006,0.001,0.003,-2.7833832432651584
2,0.002,0.005,0.001,0.003,-2.7833832432651584
2,0.002,0.008,0.001,0.003,-2.7833832432651584
2,0.002,0.001,0.001,0.003,-2.7833832432651584
1,0.006,0.001,0.001,0.002,-2.5714843637176537
1,0.006,0.008,0.001,0.002,-2.5714843637176537
1,0.006,0.003,0.001,0.002,-2.5714843637176537
1,0.006,0.005,0.001,0.002,-2.5714843637176537
1,0.006,0.004,0.001,0.002,-2.5714843637176537
1,0.006,0.006,0.001,0.002,-2.5714843637176537
1,0.006,0.002,0.001,0.002,-2.5714843637176537
1,0.006,0.007,0.001,0.002,-2.5714843637176537
1,0.002,0.006,0.001,0.001,-2.555715558362124
1,0.002,0.001,0.001,0.001,-2.555715558362124
1,0.002,0.002,0.001,0.001,-2.555715558362124
1,0.002,0.003,0.001,0.001,-2.555715558362124
1,0.002,0.008,0.001,0.001,-2.555715558362124
1,0.002,0.004,0.001,0.001,-2.555715558362124
1,0.002,0.005,0.001,0.001,-2.555715558362124
1,0.002,0.007,0.001,0.001,-2.555715558362124
1,0.006,0.005,0.001,0.005,-2.5480734543592876
1,0.006,0.007,0.001,0.005,-2.5480734543592876
1,0.006,0.002,0.001,0.005,-2.5480734543592876
1,0.006,0.004,0.001,0.005,-2.5480734543592876
1,0.006,0.006,0.001,0.005,-2.5480734543592876
1,0.006,0.003,0.001,0.005,-2.5480734543592876
1,0.006,0.001,0.001,0.005,-2.5480734543592876
1,0.006,0.008,0.001,0.005,-2.5480734543592876
1,0.008,0.006,0.001,0.002,-2.527043918274766
1,0.008,0.004,0.001,0.002,-2.527043918274766
1,0.008,0.005,0.001,0.002,-2.527043918274766
1,0.008,0.003,0.001,0.002,-2.527043918274766
1,0.008,0.001,0.001,0.002,-2.527043918274766
